Author: file,date
Matthew Rollings: app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2017-03-24T13:41:16Z
Matthew Rollings: app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2017-05-12T21:31:11Z
Matthew Rollings: app/src/main/res/layout/activity_main.xml,2015-06-30T15:06:34Z
Matthew Rollings: app/src/main/res/values/styles.xml,2020-02-03T20:42:40Z
Matthew Rollings: rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2017-05-12T21:31:11Z
Matthew Rollings: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2018-05-11T11:04:52Z
Daniel Kutik: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-01-31T00:54:28Z
Daniel Kutik: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-01-31T00:54:28Z
Daniel Kutik: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2019-11-16T02:34:24Z
Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2015-06-30T13:40:46Z
mat: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2020-01-28T13:03:18Z
mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-01-28T14:06:12Z
Ivan Vlasov: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2019-12-09T10:32:18Z
Ivan Vlasov: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2019-12-09T10:32:18Z
Daniel Kutik: app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2019-11-16T02:34:24Z
Daniel Kutik: rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2019-11-16T02:34:24Z
Daniel Kutik: app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2019-11-16T02:39:54Z
Daniel Kutik: app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2019-11-16T02:34:24Z
Daniel Kutik: app/src/main/res/layout/activity_main.xml,2019-11-16T02:34:24Z
Daniel Kutik: app/src/main/AndroidManifest.xml,2019-11-16T02:34:24Z
Daniel Kutik: app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2019-11-16T02:34:24Z
Daniel Kutik: app/src/main/res/values/styles.xml,2019-11-16T02:34:24Z
Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,2019-03-14T12:24:58Z
Matthew Rollings: rootbeerlib/src/main/jni/Application.mk,2017-03-24T14:49:14Z
Matthew Rollings: rootbeerlib/src/main/jniLibs/armeabi/libtool-checker.so,2015-06-30T13:03:45Z
Matthew Rollings: rootbeerlib/src/main/jniLibs/mips/libtool-checker.so,2015-06-30T13:03:45Z
Matthew Rollings: rootbeerlib/src/main/jniLibs/mips64/libtool-checker.so,2016-03-14T17:18:04Z
altvnv: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2018-03-16T12:14:23Z
altvnv: app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2018-03-16T16:42:19Z
altvnv: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2018-03-16T11:36:53Z
matthew: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,2017-10-31T18:57:32Z
matthew: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2017-10-31T18:57:32Z
Frieder Bluemle: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2017-08-19T16:20:33Z
Frieder Bluemle: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,2017-05-11T16:41:00Z
Ali Waseem: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2017-08-11T15:34:54Z
LeonKarabchevsky: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2017-06-11T14:34:20Z
BIOCATCH\Leon.Karabchevsky: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2017-06-07T07:53:52Z
Matthew Rollings: app/src/main/res/layout/content_main.xml,2017-05-12T21:31:11Z
Matthew Rollings: app/src/main/res/values/attrs.xml,2017-05-12T21:31:11Z
Matthew Rollings: app/src/main/res/values/strings.xml,2017-05-12T21:31:11Z
Matthew Rollings: rootbeerlib/src/main/jni/Android.mk,2017-03-24T14:49:14Z
Matthew Rollings: rootbeerlib/src/main/jni/toolChecker.cpp,2017-03-24T14:49:14Z
Matthew Rollings: rootbeerlib/src/main/jni/toolChecker.h,2017-03-24T14:49:14Z
Frieder Bluemle: app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2017-05-11T16:41:00Z
Frieder Bluemle: app/src/main/res/layout/activity_main.xml,2017-05-11T16:41:00Z
Frieder Bluemle: app/src/main/res/layout/content_main.xml,2017-05-11T16:41:00Z
Frieder Bluemle: app/src/main/res/values/attrs.xml,2017-05-11T16:41:00Z
Frieder Bluemle: app/src/main/res/values/strings.xml,2017-05-11T16:41:00Z
Frieder Bluemle: rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2017-05-11T16:41:00Z
Frieder Bluemle: rootbeerlib/src/main/jni/Android.mk,2017-05-11T16:41:00Z
Frieder Bluemle: rootbeerlib/src/main/jni/Application.mk,2017-05-11T16:41:00Z
Frieder Bluemle: rootbeerlib/src/main/jni/toolChecker.cpp,2017-05-11T16:41:00Z
Frieder Bluemle: rootbeerlib/src/main/jni/toolChecker.h,2017-05-11T16:41:00Z
Frieder Bluemle: app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2017-05-11T16:55:33Z
vyas: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2017-05-10T19:44:29Z
